type,t,x,y,z,qx,qy,qz,qw
odom,6.315000,-1.933287,-0.404184,0.008725,0.000010,0.000777,0.000165,1.000000
estimator,1716592596.475104,-1.917975,-0.476771,0.008771,0.000008,0.000782,0.000164,1.000000
real,6.315000,-1.999976,-0.500000,0.008725,0.000010,0.000777,0.000165,1.000000
odom,6.349000,-2.094748,-0.444045,0.008721,0.000006,0.000777,0.000166,1.000000
estimator,1716592596.509443,-1.933287,-0.404184,0.008769,0.000007,0.000780,0.000165,1.000000
real,6.349000,-1.999976,-0.500000,0.008721,0.000006,0.000777,0.000166,1.000000
odom,6.383000,-1.902342,-0.440581,0.008721,0.000006,0.000776,0.000167,1.000000
estimator,1716592596.547848,-1.750350,0.318814,0.008250,-0.000212,0.000729,-0.280784,0.959771
real,6.383000,-1.999976,-0.500000,0.008721,0.000006,0.000776,0.000167,1.000000
odom,6.417000,-2.053433,-0.521677,0.008718,0.000010,0.000776,0.000168,1.000000
estimator,1716592596.578269,-1.998808,-0.442142,0.008617,0.000003,0.000780,0.000113,1.000000
real,6.417000,-1.999976,-0.500000,0.008718,0.000010,0.000776,0.000168,1.000000
odom,6.451000,-2.097161,-0.539792,0.008716,0.000011,0.000777,0.000169,1.000000
estimator,1716592596.612420,-2.053433,-0.521677,0.008466,0.000008,0.000780,0.000168,1.000000
real,6.451000,-1.999976,-0.500000,0.008716,0.000011,0.000777,0.000169,1.000000
odom,6.485000,-2.081459,-0.594092,0.008718,0.000008,0.000777,0.000169,1.000000
estimator,1716592596.646431,-2.097161,-0.539792,0.008464,0.000009,0.000781,0.000169,1.000000
real,6.485000,-1.999975,-0.500000,0.008718,0.000008,0.000777,0.000169,1.000000
odom,6.519000,-1.936086,-0.562343,0.008727,0.000008,0.000779,0.000170,1.000000
estimator,1716592596.680016,-2.081459,-0.594092,0.008466,0.000005,0.000781,0.000169,1.000000
real,6.519000,-1.999975,-0.500000,0.008727,0.000008,0.000779,0.000170,1.000000
odom,6.553000,-2.065803,-0.580488,0.008727,0.000009,0.000779,0.000171,1.000000
estimator,1716592596.713578,-1.936086,-0.562343,0.008473,0.000006,0.000783,0.000170,1.000000
real,6.553000,-1.999975,-0.500000,0.008727,0.000009,0.000779,0.000171,1.000000
odom,6.587000,-2.093026,-0.571248,0.008721,0.000010,0.000777,0.000172,1.000000
