type,t,x,y,z,qx,qy,qz,qw
estimator,1716796013.847539,-2.035050,-0.401230,0.008752,-0.000005,0.000779,0.014446,0.999895
real,510.553000,-1.999215,-0.499990,0.008723,-0.000002,0.000777,0.014447,0.999895
odom,510.587000,-1.837096,-0.441710,0.008716,-0.000000,0.000776,0.014448,0.999895
estimator,1716796013.881492,-1.883056,-0.442096,0.008680,-0.000004,0.000779,0.014459,0.999895
real,510.587000,-1.999215,-0.499990,0.008716,-0.000000,0.000776,0.014448,0.999895
odom,510.621000,-2.215120,-0.439205,0.008727,-0.000000,0.000779,0.014449,0.999895
estimator,1716796013.915364,-1.883059,-0.442072,0.008680,-0.000004,0.000779,0.014437,0.999895
real,510.621000,-1.999215,-0.499990,0.008727,-0.000000,0.000779,0.014449,0.999895
odom,510.655000,-1.852312,-0.481110,0.008728,-0.000002,0.000779,0.014450,0.999895
estimator,1716796013.948606,-2.215120,-0.439205,0.008621,-0.000004,0.000782,0.014449,0.999895
real,510.655000,-1.999215,-0.499990,0.008728,-0.000002,0.000779,0.014450,0.999895
odom,510.689000,-2.178088,-0.493057,0.008722,-0.000003,0.000776,0.014451,0.999895
estimator,1716796013.983869,-1.852312,-0.481110,0.008620,-0.000006,0.000782,0.014450,0.999895
real,510.689000,-1.999215,-0.499990,0.008722,-0.000003,0.000776,0.014451,0.999895
odom,510.723000,-2.228441,-0.481924,0.008721,-0.000002,0.000776,0.014452,0.999895
estimator,1716796014.016805,-2.178088,-0.493057,0.008617,-0.000006,0.000779,0.014451,0.999895
real,510.723000,-1.999215,-0.499990,0.008721,-0.000002,0.000776,0.014452,0.999895
odom,510.757000,-1.918721,-0.448133,0.008718,-0.000001,0.000777,0.014453,0.999895
estimator,1716796014.050716,-2.228441,-0.481924,0.008616,-0.000006,0.000779,0.014452,0.999895
real,510.757000,-1.999215,-0.499990,0.008718,-0.000001,0.000777,0.014453,0.999895
odom,510.791000,-2.000285,-0.426618,0.008718,-0.000004,0.000778,0.014454,0.999895
estimator,1716796014.085810,-1.959511,-0.437298,0.008674,-0.000004,0.000780,0.014421,0.999896
real,510.791000,-1.999215,-0.499990,0.008718,-0.000004,0.000778,0.014454,0.999895
odom,510.825000,-1.939548,-0.476908,0.008721,-0.000004,0.000778,0.014455,0.999895
estimator,1716796014.119607,-1.959515,-0.437448,0.008674,-0.000004,0.000780,0.014483,0.999895
real,510.825000,-1.999215,-0.499990,0.008721,-0.000004,0.000778,0.014455,0.999895
odom,510.859000,-1.862895,-0.478397,0.008725,-0.000003,0.000778,0.014456,0.999895
estimator,1716796014.153442,-1.939548,-0.476908,0.008739,-0.000005,0.000780,0.014455,0.999895
real,510.859000,-1.999215,-0.499990,0.008725,-0.000003,0.000778,0.014456,0.999895
odom,510.893000,-1.979943,-0.472409,0.008726,-0.000003,0.000779,0.014457,0.999895
estimator,1716796014.187097,-1.862895,-0.478397,0.008743,-0.000003,0.000779,0.014456,0.999895
real,510.893000,-1.999215,-0.499990,0.008726,-0.000003,0.000779,0.014457,0.999895
odom,510.927000,-2.049898,-0.446195,0.008725,-0.000002,0.000778,0.014458,0.999895
estimator,1716796014.221223,-1.979943,-0.472409,0.008745,-0.000004,0.000781,0.014457,0.999895
real,510.927000,-1.999215,-0.499990,0.008725,-0.000002,0.000778,0.014458,0.999895
odom,510.961000,-2.100355,-0.435965,0.008719,-0.000003,0.000777,0.014459,0.999895
estimator,1716796014.255219,-2.049898,-0.446195,0.008743,-0.000003,0.000780,0.014458,0.999895
real,510.961000,-1.999215,-0.499990,0.008719,-0.000003,0.000777,0.014459,0.999895
odom,510.995000,-1.973656,-0.418012,0.008719,-0.000003,0.000776,0.014460,0.999895
estimator,1716796014.289802,-2.035958,-0.427676,0.008637,-0.000004,0.000778,0.014549,0.999894
real,510.995000,-1.999215,-0.499990,0.008719,-0.000003,0.000776,0.014460,0.999895
odom,511.029000,-2.081813,-0.445452,0.008719,-0.000001,0.000777,0.014461,0.999895
estimator,1716796014.323400,-2.038037,-0.426271,0.008641,-0.000004,0.000778,0.014315,0.999897
real,511.029000,-1.999215,-0.499990,0.008719,-0.000001,0.000777,0.014461,0.999895
odom,511.063000,-2.122607,-0.489724,0.008723,-0.000001,0.000778,0.014462,0.999895
estimator,1716796014.357523,-2.081813,-0.445452,0.008540,-0.000001,0.000780,0.014461,0.999895
real,511.063000,-1.999215,-0.499990,0.008723,-0.000001,0.000778,0.014462,0.999895
odom,511.097000,-2.036539,-0.458448,0.008723,-0.000006,0.000778,0.014463,0.999895
estimator,1716796014.391523,-2.122607,-0.489724,0.008545,-0.000001,0.000781,0.014462,0.999895
real,511.097000,-1.999215,-0.499990,0.008723,-0.000006,0.000778,0.014463,0.999895
odom,511.131000,-2.055202,-0.464667,0.008726,-0.000004,0.000778,0.014464,0.999895
estimator,1716796014.425540,-2.036539,-0.458448,0.008544,-0.000006,0.000781,0.014463,0.999895
real,511.131000,-1.999215,-0.499990,0.008726,-0.000004,0.000778,0.014464,0.999895
odom,511.165000,-1.904721,-0.420162,0.008727,0.000001,0.000778,0.014465,0.999895
estimator,1716796014.459834,-2.055202,-0.464667,0.008548,-0.000005,0.000780,0.014464,0.999895
real,511.165000,-1.999215,-0.499990,0.008727,0.000001,0.000778,0.014465,0.999895
odom,511.199000,-2.052463,-0.427922,0.008721,-0.000001,0.000777,0.014466,0.999895
estimator,1716796014.496203,-1.978563,-0.424030,0.008663,0.000001,0.000781,0.014459,0.999895
real,511.199000,-1.999215,-0.499990,0.008721,-0.000001,0.000777,0.014466,0.999895
odom,511.233000,-2.146689,-0.449053,0.008721,-0.000003,0.000776,0.014467,0.999895
estimator,1716796014.530968,-1.978637,-0.424042,0.008663,0.000001,0.000781,0.014472,0.999895
real,511.233000,-1.999215,-0.499990,0.008721,-0.000003,0.000776,0.014467,0.999895
odom,511.267000,-1.965367,-0.400312,0.008718,-0.000002,0.000777,0.014468,0.999895
estimator,1716796014.563232,-2.146689,-0.449053,0.008779,-0.000001,0.000780,0.014467,0.999895
real,511.267000,-1.999214,-0.499990,0.008718,-0.000002,0.000777,0.014468,0.999895
odom,511.301000,-2.096723,-0.487525,0.008718,-0.000001,0.000778,0.014469,0.999895
estimator,1716796014.597126,-1.965367,-0.400312,0.008774,-0.000000,0.000780,0.014468,0.999895
real,511.301000,-1.999214,-0.499990,0.008718,-0.000001,0.000778,0.014469,0.999895
odom,511.335000,-2.008936,-0.421070,0.008725,-0.000002,0.000778,0.014470,0.999895
estimator,1716796014.630381,-2.096723,-0.487525,0.008776,0.000001,0.000781,0.014469,0.999895
real,511.335000,-1.999214,-0.499990,0.008725,-0.000002,0.000778,0.014470,0.999895
odom,511.369000,-2.073093,-0.453249,0.008727,-0.000005,0.000778,0.014471,0.999895
estimator,1716796014.665715,-2.041007,-0.437288,0.008833,-0.000001,0.000782,0.014496,0.999895
real,511.369000,-1.999214,-0.499990,0.008727,-0.000005,0.000778,0.014471,0.999895
odom,511.403000,-1.976216,-0.460691,0.008727,-0.000004,0.000778,0.014472,0.999895
estimator,1716796014.703099,-2.041023,-0.437033,0.008833,-0.000001,0.000782,0.014449,0.999895
real,511.403000,-1.999214,-0.499990,0.008727,-0.000004,0.000778,0.014472,0.999895
odom,511.437000,-2.184435,-0.484007,0.008722,-0.000002,0.000777,0.014473,0.999895
estimator,1716796014.735043,-1.976216,-0.460691,0.008883,0.000001,0.000782,0.014472,0.999895
real,511.437000,-1.999214,-0.499990,0.008722,-0.000002,0.000777,0.014473,0.999895
odom,511.471000,-1.860463,-0.425238,0.008719,-0.000000,0.000776,0.014474,0.999895
estimator,1716796014.768616,-2.184435,-0.484007,0.008879,0.000003,0.000780,0.014473,0.999895
real,511.471000,-1.999214,-0.499990,0.008719,-0.000000,0.000776,0.014474,0.999895
odom,511.505000,-1.936934,-0.449097,0.008722,0.000000,0.000778,0.014475,0.999895
estimator,1716796014.802896,-1.860463,-0.425238,0.008874,0.000005,0.000779,0.014474,0.999895
real,511.505000,-1.999214,-0.499990,0.008722,0.000000,0.000778,0.014475,0.999895
odom,511.539000,-1.980882,-0.449276,0.008724,-0.000004,0.000779,0.014476,0.999895
estimator,1716796014.835913,-1.936933,-0.449097,0.008877,0.000005,0.000782,0.014475,0.999895
real,511.539000,-1.999214,-0.499990,0.008724,-0.000004,0.000779,0.014476,0.999895
odom,511.573000,-1.944950,-0.445072,0.008725,-0.000004,0.000779,0.014477,0.999895
estimator,1716796014.870966,-1.962543,-0.447561,0.008850,0.000000,0.000783,0.014531,0.999894
real,511.573000,-1.999214,-0.499990,0.008725,-0.000004,0.000779,0.014477,0.999895
odom,511.607000,-1.998846,-0.424768,0.008726,0.000000,0.000777,0.014478,0.999895
estimator,1716796014.904447,-1.963291,-0.446782,0.008852,0.000000,0.000783,0.014413,0.999896
real,511.607000,-1.999214,-0.499990,0.008726,0.000000,0.000777,0.014478,0.999895
odom,511.641000,-2.226459,-0.430839,0.008723,-0.000000,0.000776,0.014478,0.999895
estimator,1716796014.937853,-1.998846,-0.424768,0.008825,0.000005,0.000781,0.014478,0.999895
real,511.641000,-1.999214,-0.499990,0.008723,-0.000000,0.000776,0.014478,0.999895
odom,511.675000,-1.863234,-0.458669,0.008717,-0.000005,0.000777,0.014479,0.999895
estimator,1716796014.971535,-2.226459,-0.430839,0.008823,0.000004,0.000780,0.014478,0.999895
real,511.675000,-1.999214,-0.499990,0.008717,-0.000005,0.000777,0.014479,0.999895
odom,511.709000,-1.966694,-0.455172,0.008717,-0.000006,0.000777,0.014480,0.999895
estimator,1716796015.005313,-1.863234,-0.458669,0.008814,-0.000001,0.000781,0.014479,0.999895
real,511.709000,-1.999214,-0.499990,0.008717,-0.000006,0.000777,0.014480,0.999895
odom,511.743000,-2.174343,-0.411676,0.008719,-0.000000,0.000775,0.014481,0.999895
estimator,1716796015.039188,-1.966694,-0.455172,0.008815,-0.000001,0.000780,0.014480,0.999895
real,511.743000,-1.999214,-0.499990,0.008719,-0.000000,0.000775,0.014481,0.999895
odom,511.777000,-1.937190,-0.471111,0.008718,-0.000001,0.000778,0.014482,0.999895
estimator,1716796015.074696,-2.055747,-0.441713,0.008634,0.000004,0.000779,0.014525,0.999894
real,511.777000,-1.999214,-0.499990,0.008718,-0.000001,0.000778,0.014482,0.999895
odom,511.811000,-1.945001,-0.442652,0.008723,-0.000006,0.000780,0.014483,0.999895
estimator,1716796015.108597,-2.055783,-0.441040,0.008634,0.000004,0.000779,0.014399,0.999896
real,511.811000,-1.999214,-0.499990,0.008723,-0.000006,0.000780,0.014483,0.999895
odom,511.845000,-1.995776,-0.479681,0.008725,-0.000005,0.000778,0.014484,0.999895
estimator,1716796015.141962,-1.945001,-0.442652,0.008455,-0.000001,0.000780,0.014483,0.999895
real,511.845000,-1.999214,-0.499990,0.008725,-0.000005,0.000778,0.014484,0.999895
odom,511.879000,-1.940773,-0.447883,0.008728,-0.000004,0.000778,0.014485,0.999895
estimator,1716796015.175872,-1.995777,-0.479681,0.008457,0.000000,0.000779,0.014484,0.999895
real,511.879000,-1.999214,-0.499990,0.008728,-0.000004,0.000778,0.014485,0.999895
odom,511.913000,-2.110273,-0.401276,0.008726,-0.000002,0.000777,0.014486,0.999895
estimator,1716796015.209655,-1.940773,-0.447883,0.008460,0.000002,0.000779,0.014485,0.999895
real,511.913000,-1.999214,-0.499990,0.008726,-0.000002,0.000777,0.014486,0.999895
odom,511.947000,-1.984167,-0.491754,0.008721,-0.000002,0.000777,0.014487,0.999895
estimator,1716796015.244437,-2.110273,-0.401276,0.008458,0.000003,0.000777,0.014486,0.999895
real,511.947000,-1.999213,-0.499990,0.008721,-0.000002,0.000777,0.014487,0.999895
odom,511.981000,-2.070523,-0.478821,0.008718,-0.000001,0.000777,0.014488,0.999895
estimator,1716796015.281652,-2.027450,-0.486222,0.008520,0.000003,0.000778,0.014557,0.999894
real,511.981000,-1.999213,-0.499990,0.008718,-0.000001,0.000777,0.014488,0.999895
odom,512.015000,-1.931575,-0.477380,0.008718,-0.000002,0.000776,0.014489,0.999895
estimator,1716796015.315071,-2.027219,-0.484596,0.008519,0.000003,0.000778,0.014449,0.999895
real,512.015000,-1.999213,-0.499990,0.008718,-0.000002,0.000776,0.014489,0.999895
odom,512.049000,-1.981818,-0.470216,0.008716,-0.000003,0.000777,0.014490,0.999895
estimator,1716796015.348456,-1.931575,-0.477380,0.008586,0.000003,0.000777,0.014489,0.999895
real,512.049000,-1.999213,-0.499990,0.008716,-0.000003,0.000777,0.014490,0.999895
odom,512.083000,-1.985198,-0.498013,0.008718,-0.000003,0.000778,0.014491,0.999895
estimator,1716796015.381625,-1.981819,-0.470216,0.008584,0.000001,0.000779,0.014490,0.999895
real,512.083000,-1.999213,-0.499990,0.008718,-0.000003,0.000778,0.014491,0.999895
odom,512.117000,-2.004468,-0.478854,0.008727,-0.000001,0.000779,0.014492,0.999895
estimator,1716796015.415970,-1.985198,-0.498013,0.008586,0.000002,0.000779,0.014491,0.999895
real,512.117000,-1.999213,-0.499990,0.008727,-0.000001,0.000779,0.014492,0.999895
odom,512.151000,-2.194587,-0.430314,0.008728,-0.000000,0.000779,0.014493,0.999895
estimator,1716796015.449137,-2.004469,-0.478854,0.008595,0.000003,0.000780,0.014492,0.999895
real,512.151000,-1.999213,-0.499990,0.008728,-0.000000,0.000779,0.014493,0.999895
odom,512.185000,-1.858593,-0.466162,0.008719,0.000000,0.000776,0.014494,0.999895
estimator,1716796015.483580,-2.026867,-0.448017,0.008335,0.000004,0.000780,0.014490,0.999895
real,512.185000,-1.999213,-0.499990,0.008719,0.000000,0.000776,0.014494,0.999895
odom,512.219000,-2.017930,-0.490267,0.008719,-0.000005,0.000777,0.014495,0.999895
estimator,1716796015.517294,-2.026349,-0.448482,0.008334,0.000004,0.000780,0.014532,0.999894
real,512.219000,-1.999213,-0.499990,0.008719,-0.000005,0.000777,0.014495,0.999895
odom,512.253000,-1.994703,-0.482483,0.008718,-0.000006,0.000776,0.014496,0.999895
estimator,1716796015.550980,-2.017931,-0.490267,0.008074,-0.000001,0.000781,0.014495,0.999895
real,512.253000,-1.999213,-0.499990,0.008718,-0.000006,0.000776,0.014496,0.999895
odom,512.287000,-2.091104,-0.494015,0.008717,-0.000004,0.000777,0.014497,0.999895
estimator,1716796015.585122,-1.994704,-0.482483,0.008073,-0.000002,0.000780,0.014496,0.999895
real,512.287000,-1.999213,-0.499990,0.008717,-0.000004,0.000777,0.014497,0.999895
odom,512.321000,-2.102408,-0.472934,0.008718,0.000001,0.000777,0.014498,0.999895
estimator,1716796015.618853,-2.091105,-0.494015,0.008072,-0.000000,0.000781,0.014497,0.999895
real,512.321000,-1.999213,-0.499990,0.008718,0.000001,0.000777,0.014498,0.999895
odom,512.355000,-2.058046,-0.458733,0.008728,0.000001,0.000778,0.014499,0.999895
estimator,1716796015.652901,-2.102409,-0.472934,0.008073,0.000004,0.000781,0.014498,0.999895
real,512.355000,-1.999213,-0.499990,0.008728,0.000001,0.000778,0.014499,0.999895
odom,512.389000,-2.057442,-0.440904,0.008726,-0.000003,0.000777,0.014500,0.999895
estimator,1716796015.689334,-2.057677,-0.449295,0.008083,0.000005,0.000782,0.014448,0.999895
real,512.389000,-1.999213,-0.499990,0.008726,-0.000003,0.000777,0.014500,0.999895
odom,512.423000,-1.911124,-0.456213,0.008720,-0.000005,0.000776,0.014501,0.999895
estimator,1716796015.722347,-2.057782,-0.450373,0.008083,0.000005,0.000782,0.014550,0.999894
real,512.423000,-1.999213,-0.499990,0.008720,-0.000005,0.000776,0.014501,0.999895
odom,512.457000,-2.116036,-0.438071,0.008719,-0.000006,0.000776,0.014502,0.999895
estimator,1716796015.756467,-1.911125,-0.456213,0.008075,0.000003,0.000781,0.014501,0.999895
real,512.457000,-1.999213,-0.499990,0.008719,-0.000006,0.000776,0.014502,0.999895
odom,512.491000,-1.954685,-0.466361,0.008719,-0.000000,0.000777,0.014503,0.999895
estimator,1716796015.790108,-2.116037,-0.438071,0.008077,0.000002,0.000781,0.014502,0.999895
real,512.491000,-1.999213,-0.499990,0.008719,-0.000000,0.000777,0.014503,0.999895
odom,512.525000,-2.080333,-0.438646,0.008722,0.000001,0.000778,0.014504,0.999895
estimator,1716796015.824126,-1.954686,-0.466361,0.008075,0.000008,0.000781,0.014503,0.999895
