type,t,x,y,z,qx,qy,qz,qw
odom,10.570000,-1.983197,-0.485259,0.008726,0.000006,0.000778,0.000282,1.000000
estimator,1716641582.014581,-2.004878,-0.455754,0.008955,0.000006,0.000779,0.000281,1.000000
real,10.570000,-1.999969,-0.500000,0.008726,0.000006,0.000778,0.000282,1.000000
odom,10.604000,-1.927157,-0.484261,0.008726,0.000011,0.000777,0.000283,1.000000
estimator,1716641582.051250,-1.955292,-0.485122,0.008911,0.000007,0.000779,0.000297,1.000000
real,10.604000,-1.999969,-0.500000,0.008726,0.000011,0.000777,0.000283,1.000000
odom,10.638000,-1.879519,-0.479111,0.008717,0.000009,0.000777,0.000284,1.000000
estimator,1716641582.084946,-1.955059,-0.484412,0.008911,0.000007,0.000779,0.000258,1.000000
real,10.638000,-1.999969,-0.500000,0.008717,0.000009,0.000777,0.000284,1.000000
odom,10.672000,-2.003815,-0.464828,0.008718,0.000007,0.000777,0.000285,1.000000
estimator,1716641582.118370,-1.879518,-0.479111,0.008859,0.000005,0.000779,0.000284,1.000000
real,10.672000,-1.999969,-0.500000,0.008718,0.000007,0.000777,0.000285,1.000000
odom,10.706000,-2.212642,-0.489237,0.008720,0.000009,0.000776,0.000286,1.000000
estimator,1716641582.152080,-2.003815,-0.464828,0.008859,0.000002,0.000778,0.000285,1.000000
real,10.706000,-1.999969,-0.500000,0.008720,0.000009,0.000776,0.000286,1.000000
odom,10.740000,-1.940448,-0.491286,0.008719,0.000009,0.000778,0.000287,1.000000
estimator,1716641582.186625,-2.212641,-0.489237,0.008862,0.000004,0.000777,0.000286,1.000000
real,10.740000,-1.999969,-0.500000,0.008719,0.000009,0.000778,0.000287,1.000000
odom,10.774000,-2.005991,-0.411679,0.008721,0.000009,0.000778,0.000288,1.000000
estimator,1716641582.222355,-1.973580,-0.451857,0.008912,0.000005,0.000780,0.000318,1.000000
real,10.774000,-1.999969,-0.500000,0.008721,0.000009,0.000778,0.000288,1.000000
odom,10.808000,-2.008268,-0.499718,0.008727,0.000008,0.000777,0.000288,1.000000
estimator,1716641582.255422,-1.972858,-0.451123,0.008911,0.000005,0.000780,0.000282,1.000000
real,10.808000,-1.999969,-0.500000,0.008727,0.000008,0.000777,0.000288,1.000000
odom,10.842000,-2.025217,-0.455014,0.008726,0.000009,0.000777,0.000289,1.000000
estimator,1716641582.289322,-2.008268,-0.499718,0.008969,0.000005,0.000779,0.000288,1.000000
real,10.842000,-1.999969,-0.500000,0.008726,0.000009,0.000777,0.000289,1.000000
odom,10.876000,-1.865447,-0.435560,0.008717,0.000009,0.000776,0.000290,1.000000
estimator,1716641582.322549,-2.025216,-0.455014,0.008968,0.000005,0.000778,0.000289,1.000000
real,10.876000,-1.999969,-0.500000,0.008717,0.000009,0.000776,0.000290,1.000000
odom,10.910000,-2.022044,-0.413537,0.008720,0.000009,0.000778,0.000291,1.000000
estimator,1716641582.356445,-1.865446,-0.435560,0.008958,0.000005,0.000777,0.000290,1.000000
real,10.910000,-1.999969,-0.500000,0.008720,0.000009,0.000778,0.000291,1.000000
odom,10.944000,-1.919724,-0.421488,0.008725,0.000009,0.000780,0.000292,1.000000
estimator,1716641582.390256,-2.022043,-0.413537,0.008962,0.000005,0.000779,0.000291,1.000000
real,10.944000,-1.999969,-0.500000,0.008725,0.000009,0.000780,0.000292,1.000000
odom,10.978000,-1.999910,-0.407815,0.008728,0.000010,0.000779,0.000293,1.000000
estimator,1716641582.424037,-1.959590,-0.414619,0.009029,0.000006,0.000781,0.000302,1.000000
real,10.978000,-1.999969,-0.500000,0.008728,0.000010,0.000779,0.000293,1.000000
odom,11.012000,-1.903796,-0.410518,0.008719,0.000008,0.000776,0.000294,1.000000
estimator,1716641582.458538,-1.960047,-0.414680,0.009029,0.000006,0.000781,0.000280,1.000000
real,11.012000,-1.999969,-0.500000,0.008719,0.000008,0.000776,0.000294,1.000000
odom,11.046000,-2.106152,-0.409472,0.008719,0.000007,0.000775,0.000295,1.000000
estimator,1716641582.493021,-1.903795,-0.410518,0.009082,0.000004,0.000778,0.000294,1.000000
real,11.046000,-1.999969,-0.500000,0.008719,0.000007,0.000775,0.000295,1.000000
odom,11.080000,-1.928014,-0.463991,0.008719,0.000010,0.000778,0.000296,1.000000
estimator,1716641582.526541,-2.106152,-0.409472,0.009083,0.000003,0.000778,0.000295,1.000000
real,11.080000,-1.999969,-0.500000,0.008719,0.000010,0.000778,0.000296,1.000000
odom,11.114000,-2.000859,-0.476826,0.008717,0.000008,0.000777,0.000297,1.000000
estimator,1716641582.561309,-1.928014,-0.463991,0.009083,0.000006,0.000780,0.000296,1.000000
real,11.114000,-1.999969,-0.500000,0.008717,0.000008,0.000777,0.000297,1.000000
odom,11.148000,-2.130593,-0.456604,0.008718,0.000004,0.000777,0.000298,1.000000
estimator,1716641582.595091,-2.000858,-0.476826,0.009081,0.000004,0.000779,0.000297,1.000000
real,11.148000,-1.999968,-0.500000,0.008718,0.000004,0.000777,0.000298,1.000000
odom,11.182000,-2.168462,-0.423280,0.008718,0.000007,0.000777,0.000299,1.000000
estimator,1716641582.630104,-2.149531,-0.440946,0.009112,-0.000000,0.000780,0.000430,1.000000
real,11.182000,-1.999968,-0.500000,0.008718,0.000007,0.000777,0.000299,1.000000
odom,11.216000,-1.820707,-0.471227,0.008725,0.000011,0.000779,0.000300,1.000000
estimator,1716641582.663787,-2.149530,-0.438954,0.009112,-0.000001,0.000780,0.000185,1.000000
real,11.216000,-1.999968,-0.500000,0.008725,0.000011,0.000779,0.000300,1.000000
odom,11.250000,-1.860006,-0.403944,0.008721,0.000010,0.000778,0.000301,1.000000
