type,t,x,y,z,qx,qy,qz,qw
odom,3.638000,-1.904505,-0.508909,0.008718,0.000010,0.000777,0.000096,1.000000
estimator,1716590958.875767,-2.083743,-0.546445,0.008477,0.000014,0.000775,0.000241,1.000000
real,3.638000,-1.999979,-0.500000,0.008718,0.000010,0.000777,0.000096,1.000000
odom,3.672000,-1.951562,-0.433930,0.008728,0.000011,0.000779,0.000097,1.000000
estimator,1716590958.909691,-1.904505,-0.508909,0.008500,0.000014,0.000775,0.000096,1.000000
real,3.672000,-1.999979,-0.500000,0.008728,0.000011,0.000779,0.000097,1.000000
odom,3.706000,-1.906491,-0.406376,0.008727,0.000007,0.000779,0.000098,1.000000
estimator,1716590958.943689,-1.951563,-0.433930,0.008510,0.000015,0.000777,0.000097,1.000000
real,3.706000,-1.999979,-0.500000,0.008727,0.000007,0.000779,0.000098,1.000000
odom,3.740000,-1.968413,-0.461926,0.008725,0.000007,0.000778,0.000099,1.000000
estimator,1716590958.977737,-1.906491,-0.406376,0.008510,0.000011,0.000777,0.000098,1.000000
real,3.740000,-1.999979,-0.500000,0.008725,0.000007,0.000778,0.000099,1.000000
odom,3.774000,-2.080546,-0.486858,0.008721,0.000008,0.000777,0.000100,1.000000
estimator,1716590959.016215,-1.716888,4.621609,0.008242,0.000007,0.000776,-0.004556,0.999989
real,3.774000,-1.999979,-0.500000,0.008721,0.000008,0.000777,0.000100,1.000000
odom,3.808000,-2.017844,-0.413739,0.008721,0.000010,0.000776,0.000101,1.000000
estimator,1716590959.046999,-2.025278,-0.473189,0.008595,0.000011,0.000776,0.000008,1.000000
real,3.808000,-1.999979,-0.500000,0.008721,0.000010,0.000776,0.000101,1.000000
odom,3.842000,-2.066005,-0.526914,0.008719,0.000012,0.000777,0.000102,1.000000
estimator,1716590959.080368,-2.017844,-0.413739,0.008680,0.000013,0.000775,0.000101,1.000000
real,3.842000,-1.999979,-0.500000,0.008719,0.000012,0.000777,0.000102,1.000000
odom,3.876000,-2.005319,-0.436482,0.008725,0.000009,0.000778,0.000103,1.000000
estimator,1716590959.114550,-2.066006,-0.526914,0.008678,0.000015,0.000776,0.000102,1.000000
real,3.876000,-1.999979,-0.500000,0.008725,0.000009,0.000778,0.000103,1.000000
odom,3.910000,-2.022204,-0.426124,0.008727,0.000005,0.000779,0.000104,1.000000
estimator,1716590959.148018,-2.005319,-0.436482,0.008685,0.000012,0.000777,0.000103,1.000000
real,3.910000,-1.999979,-0.500000,0.008727,0.000005,0.000779,0.000104,1.000000
odom,3.944000,-1.991527,-0.409404,0.008727,0.000005,0.000778,0.000105,1.000000
estimator,1716590959.181632,-2.022204,-0.426124,0.008686,0.000008,0.000778,0.000104,1.000000
real,3.944000,-1.999979,-0.500000,0.008727,0.000005,0.000778,0.000105,1.000000
odom,3.978000,-1.993252,-0.578387,0.008726,0.000008,0.000779,0.000106,1.000000
estimator,1716590959.223016,-1.752631,-4.792980,0.008239,-0.000047,0.000774,-0.069092,0.997610
real,3.978000,-1.999979,-0.500000,0.008726,0.000008,0.000779,0.000106,1.000000
odom,4.012000,-2.097304,-0.559009,0.008724,0.000011,0.000778,0.000107,1.000000
estimator,1716590959.251524,-1.991904,-0.494360,0.008685,0.000008,0.000777,0.000166,1.000000
real,4.012000,-1.999979,-0.500000,0.008724,0.000011,0.000778,0.000107,1.000000
odom,4.046000,-2.062735,-0.474359,0.008721,0.000011,0.000776,0.000108,1.000000
estimator,1716590959.285054,-2.097304,-0.559009,0.008683,0.000010,0.000776,0.000107,1.000000
real,4.046000,-1.999979,-0.500000,0.008721,0.000011,0.000776,0.000108,1.000000
odom,4.080000,-1.934057,-0.596874,0.008719,0.000010,0.000777,0.000109,1.000000
estimator,1716590959.317838,-2.062735,-0.474359,0.008681,0.000010,0.000774,0.000108,1.000000
real,4.080000,-1.999979,-0.500000,0.008719,0.000010,0.000777,0.000109,1.000000
odom,4.114000,-2.031052,-0.536279,0.008721,0.000010,0.000778,0.000109,1.000000
estimator,1716590959.351962,-1.934057,-0.596874,0.008679,0.000010,0.000776,0.000109,1.000000
real,4.114000,-1.999979,-0.500000,0.008721,0.000010,0.000778,0.000109,1.000000
odom,4.148000,-1.906886,-0.440339,0.008726,0.000010,0.000778,0.000110,1.000000
estimator,1716590959.385528,-2.031052,-0.536279,0.008681,0.000009,0.000776,0.000109,1.000000
real,4.148000,-1.999979,-0.500000,0.008726,0.000010,0.000778,0.000110,1.000000
odom,4.182000,-2.044179,-0.534780,0.008728,0.000008,0.000780,0.000111,1.000000
estimator,1716590959.424574,-2.239029,-0.279838,0.009207,0.000008,0.000776,-0.001506,0.999999
real,4.182000,-1.999979,-0.500000,0.008728,0.000008,0.000780,0.000111,1.000000
odom,4.216000,-1.908116,-0.533913,0.008727,0.000008,0.000779,0.000112,1.000000
estimator,1716590959.454247,-1.975620,-0.486983,0.008792,0.000010,0.000777,0.000071,1.000000
real,4.216000,-1.999979,-0.500000,0.008727,0.000008,0.000779,0.000112,1.000000
odom,4.250000,-1.925151,-0.553591,0.008719,0.000009,0.000777,0.000113,1.000000
estimator,1716590959.487895,-1.908115,-0.533913,0.008897,0.000010,0.000776,0.000112,1.000000
real,4.250000,-1.999979,-0.500000,0.008719,0.000009,0.000777,0.000113,1.000000
odom,4.284000,-1.999940,-0.508670,0.008719,0.000010,0.000776,0.000114,1.000000
estimator,1716590959.522065,-1.925151,-0.553591,0.008889,0.000010,0.000774,0.000113,1.000000
real,4.284000,-1.999978,-0.500000,0.008719,0.000010,0.000776,0.000114,1.000000
odom,4.318000,-2.021606,-0.432276,0.008722,0.000011,0.000778,0.000115,1.000000
estimator,1716590959.556054,-1.999940,-0.508670,0.008889,0.000011,0.000773,0.000114,1.000000
real,4.318000,-1.999978,-0.500000,0.008722,0.000011,0.000778,0.000115,1.000000
odom,4.352000,-1.990881,-0.425992,0.008726,0.000009,0.000778,0.000116,1.000000
estimator,1716590959.589799,-2.021605,-0.432276,0.008892,0.000012,0.000775,0.000115,1.000000
real,4.352000,-1.999978,-0.500000,0.008726,0.000009,0.000778,0.000116,1.000000
odom,4.386000,-2.087269,-0.432164,0.008724,0.000008,0.000776,0.000117,1.000000
estimator,1716590959.634815,-5.867146,2.410010,0.014958,-0.000012,0.000774,-0.027891,0.999611
real,4.386000,-1.999978,-0.500000,0.008724,0.000008,0.000776,0.000117,1.000000
odom,4.420000,-1.990640,-0.506059,0.008721,0.000008,0.000776,0.000118,1.000000
estimator,1716590959.657295,-2.039014,-0.428206,0.008970,0.000011,0.000775,0.000055,1.000000
real,4.420000,-1.999978,-0.500000,0.008721,0.000008,0.000776,0.000118,1.000000
odom,4.454000,-1.975382,-0.475420,0.008716,0.000010,0.000777,0.000119,1.000000
estimator,1716590959.693552,-1.990640,-0.506059,0.009042,0.000010,0.000775,0.000118,1.000000
real,4.454000,-1.999978,-0.500000,0.008716,0.000010,0.000777,0.000119,1.000000
odom,4.488000,-1.970473,-0.488711,0.008718,0.000010,0.000777,0.000120,1.000000
estimator,1716590959.725213,-1.975382,-0.475420,0.009037,0.000012,0.000776,0.000119,1.000000
real,4.488000,-1.999978,-0.500000,0.008718,0.000010,0.000777,0.000120,1.000000
