x,y,z,rot_x,rot_y,rot_z
0.000333,-0.000831,0.000000,0.000000,-0.000000,-0.000050
0.001345,-0.000839,0.000000,0.000000,-0.000000,0.000062
-0.000768,-0.000101,0.000000,0.000000,-0.000000,-0.000040
0.000388,0.000246,0.000000,0.000000,-0.000000,0.000034
0.001521,0.000762,0.000000,0.000000,-0.000000,0.000125
-0.000516,-0.000747,0.000000,0.000000,-0.000000,-0.000010
0.000363,0.000777,0.000000,0.000000,-0.000000,0.000005
-0.000516,0.000257,0.000000,0.000000,-0.000000,0.000010
0.000417,0.000634,0.000000,0.000000,-0.000000,0.000059
-0.000664,-0.000243,0.000000,0.000000,-0.000000,-0.000051
0.000661,-0.000033,0.000000,0.000000,-0.000000,0.000056
-0.000092,0.000026,0.000000,0.000000,-0.000000,-0.000015
0.000529,0.000398,0.000000,0.000000,-0.000000,0.000049
0.000134,-0.000842,0.000000,0.000000,-0.000000,-0.000055
0.000902,-0.000051,0.000000,0.000000,-0.000000,0.000089
-0.000114,-0.000107,0.000000,0.000000,-0.000000,-0.000014
0.001328,-0.000340,0.000000,0.000000,-0.000000,0.000112
-0.000704,0.001190,0.000000,0.000000,-0.000000,-0.000105
-0.001243,0.000103,0.000000,0.000000,-0.000000,-0.000090
0.000051,-0.000256,0.000000,0.000000,-0.000000,0.000017
0.000673,-0.000416,0.000000,0.000000,-0.000000,0.000049
0.000487,0.000278,0.000000,0.000000,-0.000000,0.000042
-0.001142,-0.000173,0.000000,0.000000,-0.000000,-0.000035
0.000760,-0.000512,0.000000,0.000000,-0.000000,0.000063
-0.001035,0.000254,0.000000,0.000000,-0.000000,-0.000074
0.000720,0.000933,0.000000,0.000000,-0.000000,0.000099
-0.000454,-0.000203,0.000000,0.000000,-0.000000,-0.000004
0.000046,0.000707,0.000000,0.000000,-0.000000,0.000009
-0.000386,0.000735,0.000000,0.000000,-0.000000,0.000004
-0.000133,0.000004,0.000000,0.000000,-0.000000,-0.000010
