x,y,z,rot_x,rot_y,rot_z
0.000009,-0.000480,0.000000,0.000000,-0.000000,0.000025
0.000789,0.000348,0.000000,0.000000,-0.000000,0.000077
0.000087,0.000328,0.000000,0.000000,-0.000000,-0.000012
-0.000707,-0.000136,0.000000,0.000000,-0.000000,-0.000033
0.000515,-0.000604,0.000000,0.000000,-0.000000,0.000019
-0.000236,0.001581,0.000000,0.000000,-0.000000,0.000004
0.000935,-0.000630,0.000000,0.000000,-0.000000,0.000031
0.000283,-0.000029,0.000000,0.000000,-0.000000,0.000031
0.001052,-0.000034,0.000000,0.000000,-0.000000,0.000083
-0.000167,0.000557,0.000000,0.000000,-0.000000,-0.000037
0.000317,0.000732,0.000000,0.000000,-0.000000,-0.000021
0.000094,0.000009,0.000000,0.000000,-0.000000,0.000031
0.000151,0.000290,0.000000,0.000000,-0.000000,0.000039
-0.000078,-0.000796,0.000000,0.000000,-0.000000,-0.000055
0.000406,0.000845,0.000000,0.000000,-0.000000,0.000082
-0.000711,0.000153,0.000000,0.000000,-0.000000,-0.000026
0.000742,0.000005,0.000000,0.000000,-0.000000,0.000069
0.000620,0.000242,0.000000,0.000000,-0.000000,0.000033
-0.000517,0.000016,0.000000,0.000000,-0.000000,-0.000019
0.001460,0.000494,0.000000,0.000000,-0.000000,0.000091
-0.000670,0.000083,0.000000,0.000000,-0.000000,-0.000010
-0.000653,0.000209,0.000000,0.000000,-0.000000,-0.000028
0.000473,-0.000091,0.000000,0.000000,-0.000000,0.000009
0.000064,0.000041,0.000000,0.000000,-0.000000,-0.000014
-0.001198,0.000032,0.000000,0.000000,-0.000000,-0.000008
-0.000491,0.000679,0.000000,0.000000,-0.000000,-0.000044
0.000049,-0.000080,0.000000,0.000000,-0.000000,-0.000010
-0.000511,0.000304,0.000000,0.000000,-0.000000,-0.000065
0.000607,-0.000357,0.000000,0.000000,-0.000000,0.000023
-0.001557,0.000343,0.000000,0.000000,-0.000000,-0.000123
0.000841,0.000598,0.000000,0.000000,-0.000000,0.000108
-0.000855,-0.000487,0.000000,0.000000,-0.000000,-0.000055
0.000952,0.000387,0.000000,0.000000,-0.000000,0.000030
0.000109,-0.000379,0.000000,0.000000,-0.000000,-0.000016
0.000114,0.000674,0.000000,0.000000,-0.000000,0.000018
-0.000287,-0.000911,0.000000,0.000000,-0.000000,-0.000069
-0.000046,-0.000045,0.000000,0.000000,-0.000000,-0.000026
0.000725,0.000943,0.000000,0.000000,-0.000000,0.000078
0.000348,-0.000341,0.000000,0.000000,-0.000000,0.000026
-0.000824,-0.000347,0.000000,0.000000,-0.000000,-0.000095
-0.000364,0.000391,0.000000,0.000000,-0.000000,0.000025
0.001072,-0.000508,0.000000,0.000000,-0.000000,0.000035
-0.001059,0.000070,0.000000,0.000000,-0.000000,-0.000077
0.001169,0.000225,0.000000,0.000000,-0.000000,0.000100
-0.000986,-0.000450,0.000000,0.000000,-0.000000,-0.000109
0.000545,-0.000463,0.000000,0.000000,-0.000000,0.000031
-0.000711,0.001074,0.000000,0.000000,-0.000000,-0.000046
0.000601,0.001243,0.000000,0.000000,-0.000000,0.000070
-0.000282,-0.000951,0.000000,0.000000,-0.000000,-0.000029
-0.000155,0.000557,0.000000,0.000000,-0.000000,0.000008
-0.000909,-0.000335,0.000000,0.000000,-0.000000,-0.000082
0.000376,-0.000126,0.000000,0.000000,-0.000000,0.000003
-0.000558,0.000151,0.000000,0.000000,-0.000000,-0.000016
0.001097,0.000072,0.000000,0.000000,-0.000000,0.000085
0.000994,0.000341,0.000000,0.000000,-0.000000,0.000073
-0.001474,-0.000772,0.000000,0.000000,-0.000000,-0.000135
0.000732,0.000441,0.000000,0.000000,-0.000000,0.000106
-0.000523,-0.000337,0.000000,0.000000,-0.000000,-0.000032
0.000361,-0.000065,0.000000,0.000000,-0.000000,0.000019
-0.000614,0.000670,0.000000,0.000000,-0.000000,-0.000011
